Student ID,School ID,Answer ,Conceptual Code (Jessica and Tasneem),tag 1,tag 2,tag 3,tag 4,tag 5,tag 6
M103,M,When I think of artifcal intelligence I think of something that can help the world in a positive way such as chat bots like Siri or chat gpt or self driving cars.,"improving human condition
capabilities of AI",improving human condition,capabilities of AI,,,,
M104,M,Any program that can simulate intelligence. it doesn't have to be a human level but it should be close.,"non-bio intelligence 
anthropomorphic",non-bio intelligence ,anthropomorphic,,,,
M105,M,I think that AI means something that can work and think without being a living creature. It means that it can process information similarly to how a human could. And that it can make decisions and learn.,"non-bio intelligence
computational
anthropomorphic",non-bio intelligence,computational,anthropomorphic,,,
M106,M,"it means that robot has a conscious and it can think for its self. it can also do tasks a human can and can,t do. and they have tons of knoledge","anthropomorphic
non-bio intelligence",anthropomorphic,non-bio intelligence,,,,
M107,M,"I think artificial intelligence is the way a computer or any device thinks and why it thinks that way. For example, with programming humans are actually able to tell the device what to think and almost teach it in a way.","hardware
human created
non-bio intelligence",hardware,human created,non-bio intelligence,,,
M108,M,AI is the ability for a computer to learn based on real world data that it is given. It also can perform tasks without human intervention.,"computational
capabilities of AI",computational,capabilities of AI,,,,
M109,M,a machine object and or toy that can be used to make life better or worse,"hardware 
improving human condition
negative outlook",hardware,improving human condition,negative outlook,,,
M110,M,"Artificial intelligence is a computer system programming system that uses algorithms and patterns to do a variety of things. Some of these things are programing, identefying building and a variety of diffrent things as long as you give it the supplys and essentials it needs.","computational
capabilities of AI",computational,capabilities of AI,,,,
M111,M,I think AI means to replicate all the aspects of a brain like emotion or how to respond to a conversation using programming. Or programming a machine to listen to instructions.,"capabilities of AI
anthropomorphic
human created
computational",capabilities of AI,anthropomorphic,human created,computational,,
M114,M,"I think that artificial intelligence is devices that humans have made to make life easier. It could be either a robot, a website on a computer, an Alexa, or even a car. AI is a tool that scientists have begun to use to help either everyday lives or in emergencies when do do things that we cannot. It could even be a self driving robot on farms.","human created
capaibilities of AI
hardware
improving human condition",human created,capabilities of AI,hardware,improving human condition,,
M115,M,I think that artificial intelligence means that the compare can make ideas of it's own with. The kownagle of a compere can go a far way without the help of programmer and could be helpful for the next generation. It could help with identifying people in for the better.,"improving human condition
anthropomorphic
non-bio intelligence",improving human condition,anthropomorphic,non-bio intelligence,,,
M113,M,"AI is something that tries to learn like a human. Although most AI's aren't able to do this yet, they are close. Supervised learning AI work by taking an already labeled data set, and then grouping new data using knowledge from the previous dataset.","computational
anthropomorphic",computational,anthropomorphic,,,,
M116,M,A device that has the ability to make decisions and has a mind or intelligence. They are able to mimic a human in terms of the way they think and learn. Artificial Intelligence is able to learn new information and use it to complete tasks. I also know they usually use some sort of algorithm for understanding the thing around them and executing tasks.,"anthropomorphic
capabilities of AI
computational
non-bio intelligence",anthropomorphic,capabilities of AI,computational,non-bio intelligence,,
M112,M,"Artificial intelligence is a life-like robot, that can receive inputs and respond with a sophisticated human-like output. AI acts very similar to human brains, as its response skills are incredibly the same to human brain neurons. This is called, ""Neural Networks."" AI has been the mark of the 21st century, being capable of cheating in an essay, to discovering the cure life threatening diseases.","hardware
computational
improving human condition
anthropmorphic",hardware,computational,improving human condition,anthropmorphic,,
K124,K,It means intellegence that is not a human that is not alive but rather inside of a computer/other divices,"non-bio intelligence 
hardware",non-bio intelligence ,hardware,,,,
K151,K,Artificial intelligence means fake intellegence as in that it isn't real thoughts from a real person. It makes something up from its code that is accurate from other people's research. Also it means computer might take over the world one day with lots of data,"conceptual priming
non-bio intelligence 
computational
negative outlook",conceptual priming,non-bio intelligence ,computational,negative outlook,,
K118,K,"AI means that something that is not a human is acting like a human. AI is made by humans, to try to do things that a human might do... but the human doesn't have to actively do anything. I think that AI can be good, but also very bad for the world.","anthropomorphic
human created
negative outlook
non-bio intelligence",anthropomorphic,human created,negative outlook,non-bio intelligence,,
K128,K,Artificial intelligence is a program that continuously learn develop its own program.,computational,computational,,,,,
K141,K,when something is AI made by humans. So then it will take over the world and be bad since its too smart. It is very hard to make and is not neccesarly needed.,"human created
non-bio intelligence
negative outlook",human created,non-bio intelligence,negative outlook,,,
K148,K,artificial intelligence is a programmed intelligence that allows computers and technology to have the knowledge that humans have. It allows them to act and think like humans.,"anthropomorphic
non-bio intellgience",anthropomorphic,non-bio intelligence,,,,
K157,K,"AI, artificial intelligence is a man made tool that simulates human intelligence and allows humans to complete tasks easier. We use AI today to help us study and gather information rapidly without using human intelligence. AI provides us information artifically, efficiently and quickly, hence artifical intelligence.","human created 
capabilities of AI
improving human condition 
anthropomorphic",human created,capabilities of AI,improving human condition,anthropomorphic,,
K145,K,It means a program that is intelligent. It also is capable of thinking close to a human and has many uses. It will eventually think the same as a human is ethics allow it.,"non-bio intelligence
anthropomorphic",non-bio intelligence,anthropomorphic,,,,
K139,K,I think it means that a program is able to take a pool of information given and learn and use it in their program. It is a useful tool. It helps people.,"computational
improving human condition",computational,improving human condition,,,,
K142,K,Artificial intelligence is something that is programmed by humans so that they are interactive and are able to complete a lot of stuff and do stuff,human created,human created,,,,,
K160,K,I think is means a program than can think for itself and doesn't have to be programmed to do certain thinks. It can also function without the constant reprogramming. I also think that is can make desions without conditions.,"non-bio intelligence
capabilities of AI",non-bio intelligence,capabilities of AI,,,,
K143,K,Artificial intelligence means robots and coding on phones use AI to replace humans. They use AI to figure problems and do day to day humans thing.,"hardware
anthropomorphic",hardware,anthropomorphic,,,,
K135,K,"It can help people solve problems but AI also bothers people who might have their jobs taken by it. Most artists are bothered by AI because you can use AI to make ""art"" and that means you don't need to spend money to buy art from artist and do it yourself for free.","improving human condition
negative outlook",improving human condition,negative outlook,,,,
K138,K,It is intelligence created by humankind that lacks sentience.,"human created
non-bio intellgience",human created,non-bio intelligence,,,,
K144,K,"It is basically a form of intelligence that can provide specific feedback to input prompts or questions. It does not have answers pre-written, however it acts like a human in the way that it can process your input and give you a response.","anthropomorphic
computational",anthropomorphic,computational,,,,
K152,K,"Artificially created intelligence. It is a program designed to do certain things and learns better ways to do so by using a large amount of data, usually human input. It can be used to do any [really] simple task and mounted on anything from a computer program to a camera to a robot.","computational
capabilities of AI
conceptual priming",computational,capabilities of AI,conceptual priming,,,
K150,K,I think that ai means intellegence that is not living. I think it can mean many things like smartness or something like that.,non-bio intelligence,non-bio intelligence,,,,,
K127,K,I think that artificial intelligence is something created online and has all the database that is online. It also uses the internet to create answers for the questions it gets asked. Lastly I think that it could be helpful in daily life,"improving human condition
computational",improving human condition,computational,,,,
K147,K,I think it means robots making code and work for people,"hardware
computational",hardware,computational,,,,
K153,K,I think it means computers who have a mind of their own. I think it's amazing what we have done with AI.,hardware,non-bio intelligence,,,,,
K122,K,it means fake people brain. it means that it is fake people smartness. Developed by a compiuter and a robot. Does work for me.,"non-bio intelligence
hardware
improving human condition
conceptual priming",non-bio intelligence,hardware,improving human condition,conceptual priming,,
K155,K,"I think that AI is a program that can do some of the things possible of humans. So it is an advanced program that can react to things, and do things according to commands and programs. Artificial intelligence is a new program that someday can do great things for the world, maybe even solving problems that humans can't.","anthropomorphic
computational
improving human condition",anthropomorphic,computational,improving human condition,,,
K129,K,AI is a program that can think and carry out tasks like humans can. The term artificial means that it is a fake organism that uses computational thinking to solve real world problems. The AI can get so smart that it can do collage level math which in my way of thinking is kind of scary. I think that one day they can get so smart to hack into factories to make physical embodiments of themselves live in age of ultron.,"capabilities of AI
conceptual priming
computational
anthropomorphic
negative outlook",capabilities of AI,conceptual priming,computational,anthropomorphic,negative outlook,
K112,K,I think act it means robots and programs that uses data and other information to do action. I think that they use the information to act like people and perform tasks like people. I also think that they find the best things about people to make themselves better.,"hardware
computational
anthropomorphic",hardware,computational,anthropomorphic,,,
K162,K,"it means a sort of code that can take from previous knowledge and answer questions you have. It gains knowledge from things you tel it and that's why it is called artificial intelligence. Artificial meaning human made, inteligence meaning intellect and possession of knowledge","computational
capabilities of AI
human created
conceptual priming",computational,capabilities of AI,human created,conceptual priming,,
K105,K,inteligence made by computers not by humans,non-bio intelligence,non-bio intelligence,,,,,
K163,K,"Artificial intellegence is trying to recreate the human brain (but waaaay smarter), trying to replicate human emotions and feelings, hence the name artificial intelligence.","conceptual priming
non-bio intelligence
anthropomorphic",conceptual priming,non-bio intelligence,anthropomorphic,,,
K103,K,"Artificial intelligence (AI) refers to computer systems capable of performing complex tasks that historically only a human could do. such as reasoning, making decisions, or solving problems. this is what i think ai means","capabilities of AI
anthropomorphic",capabilities of AI,anthropomorphic,,,,
K146,K,Artificial intelligence are man made objects that work for us and make an impact on society. The AI takes code from a human and learns by itself. The code is used to turn the world into a better place.,"human created
computational
improving human condition
hardware",human created,computational,improving human condition,hardware,,
K131,K,AI is an algorithm that learns from itself. It gains abilities as it attempts thing. It will develop on its own.,computational,computational,,,,,
K130,K,"Artificial intelligence is human-created intelligence that can detect, recognize, and complete tasks. It makes life easier with allowing people to work on other tasks. But, it still has a long way to go in improving in ways one could not think of.","human created
capabilities of AI
improving human condition",human created,capabilities of AI,improving human condition,,,
K121,K,It means the loss of many great artists jobs and the loss of true art. But also cool smart stuff.,"non-bio intelligence 
negative outlook",non-bio intelligence ,negative outlook,,,,
P101,P,inteligencia de la tecnologia,non-bio intelligence,non-bio intelligence,,,,,
P102,P,algo q ayuda a los humanos,improving human condition,improving human condition,,,,,
P103,P,Q nos sirve para poder hacer muchas cosas,improving human condition,improving human condition,,,,,
P104,P,Cosas o personas que pueden ayudarte en lo que desees,"hardware
improving human condition",hardware,improving human condition,,,,
P105,P,ayuda tecnológica que se les brinda a personas con poca capacidad mental,improving human condition,improving human condition,,,,,
P106,P,Inteligencia de algo artificial como un robot,"non-bio intelligence
hardware 
conceputal priming",non-bio intelligence,hardware,conceputal priming,,,
P108,P,yo creo que la inteligencia artificial es un programa informático que pueda crear sistemas que puedan realizar cosas que nosotros requerimos como el aprendizaje el razonamiento,"computational
capabilities of AI",computational,capabilities of AI,,,,
P107,P,I think it helps us a lot today.,improving human condition,improving human condition,,,,,
P111,P,yo creo que es algo que puede afectar el mundo ya que con eso se puede usar de mala manera y hacer cosas y es inteligencia más fácil para los que trabajan en programación,"improving human condition
negative outlook",improving human condition,negative outlook,,,,
P112,P,nose,not sure,not sure,,,,,
K133,K,a computer generating ideas,"hardware
capabilities",hardware,capabilities of AI,,,,
K116,K,A computing program that can be coded to think on its own.,"human created 
non-bio intelligence
computational",human created,non-bio intelligence,computational,,,
K107,K,it a computer,hardware,hardware,,,,,
K119,K,"I think artificial intelligence or AI means, some form of technological or cyborg system that has the capability or can compute real life things, or is electronic platforms that can respond to interactions","capabilities of AI
computational",capabilities of AI,computational,,,,
K159,K,"I believe that artificial intelligence (AI) is a computer that is programed to understand humans when they speak. Artificial intelligence is incredibly useful and has so much potential. For example, AI can help people find a cooking recipe or can even teach things to us.","hardware
computational
capabilities of AI
improving human condition",hardware,computational,capabilities of AI,improving human condition,,
K158,K,I think it means a computer that can think and process thoughts.I also think that it is a program with code.I also think it can be a computer that like acts like a human.,"hardware
anthropomorphic
computational",hardware,anthropomorphic,computational,,,
K137,K,I think that artificial intelligence is means when a computer gathers information to create things on its own. I think its called artificial intelligence since its not from a human's brain.,"computational
non-bio intelligence",computational,non-bio intelligence,,,,
K125,K,"A programing made by humans. It is made to act like a human, but isn't a human. Don't be confused though, it isn't AI if it doesn't act like a human or doesn't have a mind of its own.","computational
anthropomorphic
human created",computational,anthropomorphic,human created,,,
K161,K,I think ai means a computer that has been programmed and has developed an intelligence almost on par with humans. It has all the collective knowledge of the internet but lacks creative thinking skills like humans.,"hardware
computational
non-bio intelligence 
anthropomorphic",hardware,computational,non-bio intelligence ,anthropomorphic,,
K117,K,I think AI is a computer thinking and answering questions. It's something that can up with ideas in a matter of seconds and provide great answers. I think it is the future and it will continue to grow,"hardware
capabilities of AI
improving human condition
non-bio intellgience",hardware,capabilities of AI,improving human condition,non-bio intelligence,,
K154,K,I think it means a computer program that can help with the world. it uses commands that users input to create many different things like art. it can do many different things.,"improving human condition
capabilites of AI 
computational",improving human condition,capabilities of AI,computational,,,
K149,K,"AI or artificial intelligence is a programmed using a data set, and artificial neural networks. I think there multiple use-case scenarios for it.","computational
capabilities of AI",computational,capabilities of AI,,,,
Q101,Q,A computer that knows manys things and can act like a human.,"anthropomorphic
hardware
",anthropomorphic,hardware,,,,
Q102,Q,it is programs that can do specific tasks,capabilities of AI,capabilities of AI,,,,,
Q103,Q,I think Ai means computers that make decisions like humans but they make it more robotically instead of just sounding like a regular human. I think Ai can be very useful. I think Ai is very cool because it uses so much cool technology.,"hardware
non-bio intelligence
anthropomorphic
human created",hardware,non-bio intelligence,anthropomorphic,human created,,
Q104,Q,I think artificial intelligence is kinda like a human brain.I think AI is kinda like a human brain because it needs to the learn the information first like humans to know how to do it.I think ai is faster then humans though and consume information faster and better.,"computational
anthropomorphic
non-bio intellgience",computational,anthropomorphic,non-bio intelligence,,,
Q105,Q,It means a creature/thing created to use its intelligence to help us an the world,"non-bio intelligence
improving human condition",non-bio intelligence,improving human condition,,,,
Q106,Q,AI uses computers to complete things that are usually done with human intelligence. People can program AI and allow them to gain different skills. Some of these include translating between languages and creating images.,"hardware
human created
anthropomorphic
capabilites of AI",hardware,human created,anthropomorphic,capabilities of AI,,
Q108,Q,A computer that learns like a human. It can lean by getting code and thinga from humans.,"anthropomorphic
computational",anthropomorphic,computational,,,,
Q110,Q,"Artificial Intelligence is a computer or machine that can think for itself. It can be trained by humans to recognize different things and such. AI could make things better, but could also destroy us all.","hardware
non-bio intelligence
human created
capabilities of AI
improving human condition
negative outlook",hardware,non-bio intelligence,human created,capabilities of AI,improving human condition,negative outlook
Q111,Q,I think it means a learning computer program. I think it learns what it is taught. I think it learns from trial and error.,computational,computational,,,,,
Q112,Q,AI means that a computer has enough information to do things without a human specificly programing them to do the thing. They do not need coad inorder to operate just a ton of information.,"non-bio intelligence
computational
hardware",non-bio intelligence,computational,hardware,,,
Q113,Q,Personal Helper online. They can help you with things you need help with. It gives advice of it's own for you.,improving human condition,improving human condition,,,,,
Q121,Q,I think it means a learning computer program.,computational,computational,,,,,
Q117,Q,The ai is a learning system that you teach to do something,"computational
human created",computational,human created,,,,
K117,K,I think Ai is computers thinking own their own. It doesn't have a lot of boundaries and can think beyond the lines. It seems to be a great reosource and could be very important and valuable to the future.,"non-bio intelligence
improving human condition",non-bio intelligence,improving human condition,,,,
K158,K,It is a computer that is smart.The computer can use information to solve information.This means it can answer questions from information.,"non-bio intelligence
capabilities of AI",non-bio intelligence,capabilities of AI,,,,
Q108,Q,using it to make your life eaiser,improving human condition,improving human condition,,,,,
Q112,Q,AI means robots that can do things with out programming explicitly telling them what to do.,"non-bio intelligence
hardware",non-bio intelligence,hardware,,,,
K119,K,"I think AI means a technological computational systtem that can be trained, and has the ability to give feedback, or respond to the information it was given","computational
capabilities of AI",computational,capabilities of AI,,,,
K160,K,"AI means a device that can preform on its own without having a lot of coding/a human controlling it. It also mean Artificial Intelligence which means it can use its own generated ""knowledge"" to preform tasks and make smart decisions. By using its own generated ideas it able to make predictions, however it isn't always accurate as humans and may have bias.","capabilities of AI
non-bio intelligence 
hardware",capabilities of AI,non-bio intelligence ,hardware,,,
K138,K,Artificial Intelligence is a program created by humans that can be used to do things that only humans have been able to do previously.,"human created
anthropomorphic",human created,anthropomorphic,,,,
K150,K,ai is helping me do wel in life by making it easier to do things in life.,improving human condition,improving human condition,,,,,
K129,K,There is a mural network that tell the screen what to tell or show you. It can classify cats from dogs with image classification and perception. I think AI is really cool.,capabilities of AI,capabilities of AI,,,,,
K127,K,I think it mean something that is made online and can be used online. Also that it has information to the rest of the internet and could use it to get an answer. Lastly it can help you with things you need and can create things,"capabilities of AI
improving human condition",capabilities of AI,improving human condition,,,,
K122,K,Ut'a mid,off topic,off topic,,,,,
K144,K,AI is like a thing that catagorizes patterns in pixels and color. You samples to help in recognize patterns. Then it uses the patterns to catagorize new images.,capabilities of AI,capabilities of AI,,,,,
K112,K,Artificial Intelligence,conceptual priming,conceptual priming,,,,,
K152,K,A device that has been trained on human data to achieve a certain goal. This device has been given a certain intelligence artificially. They are developed over a period of time with samples of data classified for a specific item. AI may or may not have a better judgement than humans.,"non-bio intelligence
computational",non-bio intelligence,computational,,,,
K153,K,Computer or device being able to recognize something with code.,"hardware
computational",hardware,computational,,,,
K155,K,"I think that AI is a computer program that receives data and then can do something with it, like react in real time to a problem. It thinks in numbers, however, so it will never be perfect. I don't understand very well, but I have a basic comprehension.",computational,computational,,,,,
L102,L,It means a application that predicts something,capabilities of AI,capabilities of AI,,,,,
L104,L,I think AI means artificial intelligence. AI can help solve things like a spider bite or tick bite. I feel like in the future AI is going to be really helpful.,"capabilites of AI
conceptual priming 
improving human condition",capabilities of AI,conceptual priming ,improving human condition,,,
L107,L,"I think that AI means something that doesn't feel things, but still tries it's best. Also it might mean something that never stops learning no matter how hard or difficult something is to learn.",non-bio intelligence,non-bio intelligence,,,,,
L123,L,"To me AI means the ability to train a machine to recognize or help with something. If AI is a learnig robot then is it possible for is to learn how to make other AI, because then we could have a little army of robots train a big army of AI. Also is a AI able to recognize a AI based on the answers to a question?","computational
improving human condition
hardware 
anthropomorphic
capabilites of AI",computational,improving human condition,hardware,anthropomorphic,capabilities of AI,
L101,L,AI is a computer generated intelligence that can help you research things. It collects data to conclude an answer to the question you ask AI. Computer scientists put data into the machine.,"capabilities of AI
computational
non-bio intelligence",capabilities of AI,computational,non-bio intelligence,,,
L123,L,"I think that AI means something that can process data given by a human and be able to recognize it. It is able to do a bunch of different things like recognize something and tell information about it, or it can show results for what you want to see. AI can also create images from what data they have been given.","computational 
capabilities of AI",computational,capabilities of AI,,,,
L103,L,I think that AI is computer generated intelligence that is used to get answers to things that people need to know on a day to day basis. AI means artificial intelligence that is used for science and other things for data. AI uses input and output.,"conceptual priming
capabilities of AI
non-bio intelligence",conceptual priming,capabilities of AI,non-bio intelligence,,,
L109,L,I think artificial intelligence means an artificial program that has been trained by putting real images with diversity into the AI program then the output is the knowledge that the AI has received from the data that someone has given it and that knowledge is used to make a perdiction.,"conceptual priming
computational
capabilities of AI",conceptual priming,computational,capabilities of AI,,,
L106,L,I think that Artificial Intelligence is when you put something into the computer and it tells you the answer. The computer gets the data by you giving it the data. You will then show a picture up to the camera and the data that you gave it will look at that all the stuff then decide what it is.,"capabilites of AI
human created 
computational",capabilities of AI,human created,computational,,,
L120,L,I think that AI means the future. I think this because soon we will be in a world with Ai being very important to the daily actions. I would prefer for AI not to be as important in the future.,improving human condition,improving human condition,,,,,
L116,L,I think it means a computer or any sort of technology can create things based off of the knowledge it has. Like say you want a dog. It will come up with several different dogs or it will make one up on its own.,"hardware
capabilities of AI
non-bio intelligence",hardware,capabilities of AI,non-bio intelligence,,,
L121,L,I think Artifical Intenigence means a trained program made for the people/public.AI can open so mary doors for people of all ages and is realy advanced when ou think about open AI like Chat GPT or QuilBot.,"computational
improving human condition",computational,improving human condition,,,,
L112,L,I think that artificial intelligence mean digital like a computer Artificial intelligence is a smart computer that can solve problems instead of a human.,"capabilities of AI
non-bio intelligence 
conceptual priming 
hardware",capabilities of AI,non-bio intelligence ,conceptual priming ,hardware,,
L122,L,if i am being honest i do not know what AI truly means to me or anybody else,not sure,not sure,,,,,
L119,L,i think it means that it is intelligence that was created by humans. and that it is something that can operate on its own and doesn't need people,"human created
non-bio intelligence",human created,non-bio intelligence,,,,
K124,K,"An artificial intelligence (AI) means that its a robot that requires human assistance to function. AI bots are very helpful to real wineries because they help with things like facial identification, ai art, etc. When these bots help they allow for less errors.","human created
hardware 
capabilities of AI",human created,hardware,capabilities of AI,,,
K145,K,Ai is a computer system that learns information from samples and uses that information to give answers. It can be accurate or inaccurate based on what information you give it. It is very helpful in people's lives.,"computational
improving human condition",computational,improving human condition,,,,
K128,K,A computer program that takes information and analyzes it,computational,computational,,,,,
K148,K,ai is the simulations of a the way we think and process things through computer porgramming and processing. ai can help you solve many problems,"improving human condition
computational
anthropomorphic",improving human condition,computational,anthropomorphic,,,
K157,K,"AI is basically simulating a real human brain through the use of computer processes. AI can help classify, detect, modify, and create all sorts of things. AI replicates humain brains and uses patterns/similarities to act like one.","anthropomorphic
capabilities of AI",anthropomorphic,capabilities of AI,,,,
K143,K,Ai is a programming for a computer to help people in day to day life.,"improving human condition
computational
hardware",improving human condition,computational,hardware,,,
K142,K,It is a program on the computer that is able to identify things and do stuff based on a code but it isn't like a brain,"capabilities of AI
computational 
non-bio intelligence",capabilities of AI,computational,non-bio intelligence,,,
K139,K,It means a computer program that can take inputs from outside sources and use them to learn. They can also create new things from inspiration. They can also answer question.,"computational
capabilities of AI",computational,capabilities of AI,,,,
K151,K,AI means a bot that auto generates stuff that you ask based on the information you give it. Also it gets the information from the web. It can tell you practically anything you would like. This is acutally something some peole use for daily life.,"capabilities of AI
computational
improving human condition",capabilities of AI,computational,improving human condition,,,
K141,K,articfiaclal intelligainxe,conceptual priming,conceptual priming,,,,,
K118,K,"I think that artificial intelligence is what the name suggests, an artificial human. It is a computer that is trying to do what humans do.","anthropomorphic
conceptual priming",anthropomorphic,conceptual priming,,,,
K135,K,Helps people solve problems that are hard without help. It can do things people can't,improving human condition,improving human condition,,,,,
L110,L,"I think artificial intelligence means that it is not a human that it is coming from, but a human who is making it smarter.","human created
non-bio intelligence",human created,non-bio intelligence,,,,
L108,L,I think AI means computers getting images and then putting them into numbers because of rgb. Then the computer will notice patterns using neural networks. Then you have your AI project.,"hardware
computational",hardware,computational,,,,
